fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
91522,12 Bar Club,"26      Denmark Street, London",WC2H 8NN,529908,181282,51.515534,-0.129205,Camden
91531,Abbey Tavern,124      Kentish Town Road,NW1 9QB,528965,184669,51.546187,-0.141548,Camden
91542,Aces and Eights Saloon Bar,156-158 Fortess Road,NW5 2HP,529135,185784,51.55616,-0.138704,Camden
91544,Acol Bridge Club,"86      West End Lane, London",NW6 2LX,525518,184486,51.545319,-0.191297,Camden
91577,Alexander the Great,"8      Plender Street, London",NW1 0JT,529165,183565,51.536221,-0.13907,Camden
91579,Alice House,"283-285      West End Lane, London, Greater London",NW6 1RD,525436,185157,51.551359,-0.19224,Camden
91582,All Bar One,"58      Kingsway, London",WC2B 6DX,530595,181399,51.516427,-0.119267,Camden
91583,All Bar One,"108      New Oxford Street, London",WC1A 1HB,529991,181445,51.516979,-0.127949,Camden
91608,Apartment 58,"101      New Oxford Street, London",WC1A 1DD,529885,181367,51.516303,-0.129505,Camden
91609,Ape and Bird,142      Shaftesbury Avenue,WC2H 8HJ,529947,181046,51.513404,-0.12873,Camden
91673,Bap and Pickle Smugglers Tavern,"28 Warren Street, London",W1T 5LU,529135,182192,51.523889,-0.140006,Camden
91679,Barfly,"49      Chalk Farm Road, London",NW1 8AN,528385,184338,51.543345,-0.150029,Camden
91698,Bayou Soul,20-22 Inverness Street,NW1 7HJ,528803,183937,51.539646,-0.14415,Camden
91703,Beatrice,55      Camden High Street,NW1 7JH,529116,183498,51.53563,-0.139801,Camden
91716,Belushi's,"48-50      Camden High Street, London",NW1 0LT,529077,183620,51.536744,-0.140332,Camden
91753,Black Heart,"2-3      Greenland Place, London, Greater London",NW1 0AP,528966,183844,51.538782,-0.141835,Camden
91759,Bloc Bar,18 Kentish Town Road,NW1 9NX,528942,183970,51.539911,-0.142135,Camden
91769,Bloomsbury Tavern,"236      Shaftesbury Avenue, London",WC2H 8EG,530135,181428,51.516785,-0.125882,Camden
91770,Bloomsbury Theatre,"15      Gordon Street, London",WC1H 0AH,529617,182365,51.525333,-0.133013,Camden
91805,Bourne & Hollingsworth,"28      Rathbone Place, London, Greater London",W1T 1JF,529549,181541,51.517935,-0.134281,Camden
91823,Bricklayers Arms,"31      Gresse Street, London",W1T 1QS,529608,181523,51.517768,-0.133437,Camden
91832,Brookes Brother Wine Bar,"33      Brooke Street, London",EC1N 7RS,531179,181666,51.518691,-0.110756,Camden
91841,Bucks Head,"202      Camden High Street, London",NW1 8QR,528829,184032,51.540503,-0.143741,Camden
91846,Bull & Bush,"Bull And Bush, North End Way, London",NW3 7HE,526008,187032,51.568091,-0.183323,Camden
91847,Bull & Last,"The Bull And Last Ph, 168      Highgate Road, London",NW5 1QS,528434,186076,51.558953,-0.148688,Camden
91848,Bull and Gate,389 Kentish Town Road,NW5 2TJ,528978,185138,51.550399,-0.141189,Camden
91946,Callaghans,"Bloomsbury Hotel, Coram Street",WC1N 1HT,530175,182221,51.523911,-0.125013,Camden
91947,Calthorpe Arms,"252      Gray's Inn Road, London",WC1X 8JR,530794,182326,51.524711,-0.116056,Camden
91965,Camden People's Theatre,"58-60      Hampstead Road, London",NW1 2PY,529240,182474,51.526399,-0.138404,Camden
92000,Cavali,"78      Albany Street, London",NW1 4EE,528867,182487,51.526601,-0.143773,Camden
92004,Cella Karaoke Lounge,"84-86      Chancery Lane, London",WC2A 1DL,531083,181339,51.515766,-0.11226,Camden
